,Molecule,A1,A2,Reduced mass,Electronic state,Te (cm^{-1}),omega_e (cm^{-1}),omega_ex_e (cm^{-1}),Be (cm^{-1}),alpha_e (cm^{-1}),De (10^{-7}cm^{-1}),Re (\AA),D0 (eV),IP (eV),Dipole moment (D),Frank-Condon factor,lambda00,recoil,N_photon,Reference,Date of reference,p1,g1,p2,g2,g1iso,g2iso,g_average,g1_lan_act,g2_lan_act,g1_lan_act_iso,g2_lan_act_iso,atom1,atom2,geometry,type1,type2,type,geometry_theta,e1,e2,n1,n2,sum_p,sum_g,diff_p,diff_g,product_p,product_g,Reduced_g,Reduced_p,g_average_lan_act,g_average_lan_act_iso,Re (\AA)^-1,Re (au),Re (au)^-1,Re (au)^2,Re (au)^-2,4*(np.pi**2)*Re (au),4*(np.pi**2)*Re (au)^-1,omega_e (au)^-2,4*(np.pi**2)*omega_e (au)^-2,omega_e (au),omega_e (au)^2,4*(np.pi**2)*omega_e (au)^2,K,sqrt(K),4*(np.pi**2)*omega_e (au),4*(np.pi**2)*Re (au)*omega_e (au)^2,ve1,ve2,log(D_e)/(R_e^3*Z_1*Z_2),ln(Re (\AA)),rcat,mu^(1/2)
407,BBr,79.0,11.0,9.655555556,X $^1\Sigma^+$,0,684.31,3.52,0.4894,0.0035,10.0,1.8882,4.49,,1.406,0.9879,294.68,1.49,189.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",3/1/1976 0:00,4.0,17.0,2.0,13.0,17.0,13.0,15.0,17.0,13.0,17,13,Br,B,"B
Br 1 BBr2
BBr2= 1.8882",Halogen,Metalloid,Metalloid-Halogen,B\nBr 1 BBr2\nBBr2= {0},35.0,5.0,6.0,44.0,6.0,30.0,2.0,0,8.0,169,7.366666666666666,1.3333333333333333,15.0,15.0,0.5296049147336087,3.5681806116346793,0.28025487183561404,12.731912877245634,0.07854279318759647,140.8661242738854,0.007098938833979022,100920.30715380341,2556.3412435929135,0.003147826,9.908808526276e-06,0.00039118408096194146,0.0037770996263508274,0.06145811277895562,0.12427118937385404,0.00139581545326853,7.0,3.0,-10.775938138375434,0.6356239943162791,1.8388,3.1073389831172267
408,PS,32.065,30.974,15.75502958,X $^2\Pi$,0,739.1,2.96,0.29632,,2.0,1.9009,4.54,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",7/1/1977 0:00,3.0,16.0,3.0,15.0,16.0,15.0,15.5,16.0,15.0,16,15,S,P,"P
S 1 PS2
PS2= 1.9009",Nonmetal,Nonmetal,Nonmetal-Nonmetal,P\nS 1 PS2\nPS2= {0},16.0,15.0,15.974,16.064999999999998,6.0,31.0,0.0,0,9.0,225,7.741935483870968,1.5,15.5,15.5,0.526066600031564,3.592180131689631,0.2783824761954898,12.903758098505735,0.07749680305273242,141.81358734891893,0.007051510498352986,86512.3147083011,2191.3825314708743,0.00339986,1.1559048019600002e-05,0.00045633292482658965,0.0071895387289708365,0.0847911477040548,0.13422109287635067,0.0016392300659978933,6.0,5.0,-11.100827169235894,0.6423274582299707,1.8388,3.9692605835344197
409,TlF,19.0,205.0,17.38839286,X $^1\Sigma^+$,0,477.3,2.3,0.223150163,0.0015,1.948,2.084438,4.57,10.52,4.2282,0.8924,284.2,0.63,20.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",11/1/1977 0:00,2.0,17.0,6.0,13.0,17.0,13.0,15.0,17.0,13.0,17,13,F,Tl,"Tl
F 1 TlF2
TlF2= 2.084438",F,Metal,Metal-F,Tl\nF 1 TlF2\nTlF2= {0},9.0,81.0,124.0,10.0,8.0,30.0,4.0,0,12.0,169,7.366666666666666,1.5,15.0,15.0,0.4797456196826195,3.939016660181425,0.25387046724345197,15.515852249186828,0.06445021413840861,155.50614466116357,0.0064306140582349736,207444.2817514538,5254.625041722978,0.00219558,4.8205715364e-06,0.0001903085362056781,0.0033091595921558646,0.05752529523745067,0.0866780241237751,0.0007496284946889058,7.0,3.0,-12.481791234017726,0.734499274552645,2.0605,4.169939191403155
410,CrF,19.0,52.0,13.91549296,X $^6 \Sigma^{+}$,0,664.105,4.22096,0.3808183,0.00309611,5.0481,1.7839,4.57,,4.21,0.065835235,1039.114885,1.45412418,0.0,"[1] Wallin, S., Koivisto, R. and Launila, O., 2022.Â Spectroscopy of CrF: Rotational analysis of the Bâ€‰6Î â€“Xâ€‰6Î£+ band system in the 1.2 Î¼m region.
[3] Koukounas, C., Kardahakis, S. and Mavridis, A., 2022. Ab initio investigation of the ground and low-lying states of the diatomic fluorides TiF, VF, CrF, and MnF.",[1] 1996 [3] 2004,2.0,17.0,4.0,6.0,17.0,6.0,11.5,17.0,6.0,17,6,F,Cr,"Cr
F 1 CrF2
CrF2= 1.7839",F,Transition Metal,Transition Metal-F,Cr\nF 1 CrF2\nCrF2= {0},9.0,24.0,28.0,10.0,6.0,23.0,2.0,0,8.0,36,4.434782608695652,1.3333333333333333,11.5,11.5,0.5605695386512697,3.3710821910259,0.2966406463366817,11.364195138651981,0.08799567305904427,133.0849905159327,0.007513995350815175,107154.60423014902,2714.257833331238,0.003054883,9.332310143689e-06,0.00036842483706593524,0.005126813226480169,0.0716017683195057,0.12060194680645224,0.0012419904069645932,7.0,2.0,-10.798304022360552,0.5788019787750849,1.75,3.7303475655761624
411,CsCl,35.0,133.0,27.70833333,X,0,214.17,0.731,0.07209149,0.00033756,0.32675,2.906272,4.58,8.32,,,,,,,,3.0,17.0,6.0,1.0,17.0,1.0,9.0,17.0,1.0,17,1,Cl,Cs,"Cs
Cl 1 CsCl2
CsCl2= 2.906272",Halogen,Alkali Metal,Alkali Metal-Halogen,Cs\nCl 1 CsCl2\nCsCl2= {0},17.0,55.0,78.0,18.0,9.0,18.0,3.0,0,18.0,1,0.9444444444444444,2.0,9.0,9.0,0.34408341683090915,5.4920577282791765,0.18208111594510304,30.16269809075103,0.03315353278381406,216.81774850424392,0.004612168546618896,1030307.979333833,26098.00599556232,0.000985182,9.70583573124e-07,3.831710361971866e-05,0.0010617030793353141,0.03258378552800939,0.03889342641229607,0.00021043974505994986,7.0,1.0,-13.725593895071892,1.066871160217351,2.6663,5.263870565467962
412,BeO,16.0,9.0,5.76,X $^1\Sigma^+$,0,1487.32,11.83,1.651,0.019,82.0,1.3309,4.6,,7.368,0.1443,1063.19,1.49,1.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",4/1/1976 0:00,2.0,16.0,2.0,2.0,16.0,2.0,9.0,16.0,2.0,16,2,O,Be,"Be
O 1 BeO2
BeO2= 1.3309",Nonmetal,Alkaline Earth Metal,Alkaline Earth Metal-Nonmetal,Be\nO 1 BeO2\nBeO2= {0},8.0,4.0,5.0,8.0,4.0,18.0,0.0,0,4.0,4,1.7777777777777777,1.0,9.0,9.0,0.751371252535878,2.515036318199658,0.39760857239462505,6.325407681863291,0.1580925768416918,99.28965406001167,0.010071542795340891,21363.652284291813,541.147634091945,0.006841672,4.6808475755584e-05,0.0018479245533023854,0.010644045427021739,0.10316998316866073,0.27009838432803934,0.004647597364848379,6.0,2.0,-8.003378697893043,0.2858554051103734,1.20752,2.4
413,TiS,32.065,47.867,19.20201365,X $^3\Delta$_1$,0,558.37,1.95,0.2018,0.0009,1.035,2.0825,4.75,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",6/1/1975 0:00,3.0,16.0,4.0,4.0,16.0,4.0,10.0,16.0,4.0,16,4,S,Ti,"Ti
S 1 TiS2
TiS2= 2.0825",Nonmetal,Transition Metal,Transition Metal-Nonmetal,Ti\nS 1 TiS2\nTiS2= {0},16.0,22.0,25.866999999999997,16.064999999999998,7.0,20.0,1.0,0,12.0,16,3.2,1.7142857142857142,10.0,10.0,0.4801920768307323,3.935354371215559,0.2541067222088867,15.487014027045408,0.0645702262717443,155.36156328798128,0.00643659846641978,151579.39995952652,3839.551054923637,0.002568502,6.597202524003999e-06,0.00026044711626315077,0.005001109081588158,0.07071852007492915,0.10140039457362726,0.0010249516974566771,6.0,2.0,-11.712326725985376,0.7335690950588607,2.0605,4.382010229335391
414,MgF,19.0,24.0,10.60465116,X $^2\Sigma^+$,0,711.69,4.94,0.51922,0.0047,10.8,1.75,4.75,,3.647,0.9981,359.5,2.55,1214.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",3/1/1977 0:00,2.0,17.0,3.0,2.0,17.0,2.0,9.5,17.0,2.0,17,2,F,Mg,"Mg
F 1 MgF2
MgF2= 1.75",F,Alkaline Earth Metal,Alkaline Earth Metal-F,Mg\nF 1 MgF2\nMgF2= {0},9.0,12.0,12.0,10.0,5.0,19.0,1.0,0,6.0,4,1.7894736842105263,1.2,9.5,9.5,0.5714285714285714,3.307020480013075,0.3023869994285751,10.93638445522591,0.09143789742341708,130.55593553611874,0.0076595521750395384,93304.50420524289,2363.430701309173,0.003273774,1.0717596203076001e-05,0.00042311373861991,0.0044869735990675655,0.06698487589797839,0.12924341711428766,0.0013992457989909415,7.0,2.0,-10.008966856141184,0.5596157879354227,1.72437,3.256478337099757
415,CaO,16.0,40.078,11.43492992,X $^1\Sigma^+$,0,732.11,4.81,0.44452,0.00338,6.58,1.8221,4.76,,11.206,0.0004,1185.82,0.6,0.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",9/1/1976 0:00,2.0,16.0,4.0,2.0,16.0,2.0,9.0,16.0,2.0,16,2,O,Ca,"Ca
O 1 CaO2
CaO2= 1.8221",Nonmetal,Alkaline Earth Metal,Alkaline Earth Metal-Nonmetal,Ca\nO 1 CaO2\nCaO2= {0},8.0,20.0,20.078000000000003,8.0,6.0,18.0,2.0,0,8.0,4,1.7777777777777777,1.3333333333333333,9.0,9.0,0.5488172987212557,3.4432697237896135,0.2904216283409289,11.8561063907662,0.08434472220819664,135.9348400802068,0.007356465784709508,88172.19625974182,2233.427822345387,0.0033677060000000003,1.1341443702436002e-05,0.00044774225072107823,0.005119901259218599,0.07155348530448115,0.13295170383670016,0.0015416973359693067,6.0,2.0,-10.521028076468832,0.599989682073696,1.79,3.381557321708446
416,SnS,32.0,120.0,25.26315789,X,0,487.26,1.358,0.13686139,0.00050563,4.24,2.209026,4.77,,,,,,,,,3.0,16.0,5.0,14.0,16.0,14.0,15.0,16.0,14.0,16,14,S,Sn,"Sn
S 1 SnS2
SnS2= 2.209026",Nonmetal,Metal,Metal-Nonmetal,Sn\nS 1 SnS2\nSnS2= {0},16.0,50.0,70.0,16.0,8.0,30.0,2.0,0,15.0,196,7.466666666666667,1.875,15.0,15.0,0.4526881983281319,4.174453841646494,0.23955229544605017,17.42606487603717,0.05738530225347171,164.80083203063444,0.006067930529708202,199050.29010866687,5042.002749540213,0.002241396,5.023856028816001e-06,0.0001983338862897668,0.0050105402842756845,0.07078516994594054,0.08848676730473634,0.0008279356535509959,6.0,4.0,-12.706053389226131,0.7925516944004024,2.1456,5.026246899029135
417,NS,32.065,14.007,9.748533925,X $^2\Pi$,0,1218.7,7.28,0.769602,0.00635,12.0,1.49402,4.8,8.87,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",5/1/1977 0:00,3.0,16.0,2.0,15.0,16.0,15.0,15.5,16.0,15.0,16,15,S,N,"N
S 1 NS2
NS2= 1.49402",Nonmetal,Nonmetal,Nonmetal-Nonmetal,N\nS 1 NS2\nNS2= {0},16.0,7.0,7.007,16.064999999999998,5.0,31.0,1.0,0,6.0,225,7.741935483870968,1.2,15.5,15.5,0.6693350825290157,2.823288421456648,0.3541968976318968,7.970957510731171,0.1254554422920604,111.45895931981264,0.008971912227626933,31819.30682118881,805.9924574503908,0.005606020000000001,3.1427460240400006e-05,0.0012407063996148508,0.012095068427609981,0.10997758147736283,0.2213167986583799,0.0035028720124597734,6.0,5.0,-9.560427257144132,0.40147047350187876,1.361,3.1222642304904307
418,LiCl,35.0,7.0,5.833333333,X,0,643.31,4.501,0.70652224,0.00800961,3.4087,2.020673,4.84,,,,,,,,,3.0,17.0,2.0,1.0,17.0,1.0,9.0,17.0,1.0,17,1,Cl,Li,"Li
Cl 1 LiCl2
LiCl2= 2.020673",Halogen,Alkali Metal,Alkali Metal-Halogen,Li\nCl 1 LiCl2\nLiCl2= {0},17.0,3.0,4.0,18.0,5.0,18.0,1.0,0,6.0,1,0.9444444444444444,1.2,9.0,9.0,0.4948846250729336,3.8185182825196913,0.2618816844684947,14.581081873937134,0.0685820166600562,150.7490593871861,0.006633540561149276,114194.11730392407,2892.5707825563886,0.0029592259999999997,8.757018519075998e-06,0.00034571323406517397,0.0020166605319316103,0.044907243646561186,0.11682555981367221,0.001320112304786876,7.0,1.0,-9.671335667978148,0.7034306242417057,2.003,2.4152294576292332
419,SrO,16.0,88.0,13.53846154,X $^1\Sigma^+$,0,653.49,3.96,0.33798,0.002194,3.6,1.91983,4.88,,8.9,0.0001,1063.83,0.36,0.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",9/1/1977 0:00,2.0,16.0,5.0,2.0,16.0,2.0,9.0,16.0,2.0,16,2,O,Sr,"Sr
O 1 SrO2
SrO2= 1.91983",Nonmetal,Alkaline Earth Metal,Alkaline Earth Metal-Nonmetal,Sr\nO 1 SrO2\nSrO2= {0},8.0,38.0,50.0,8.0,7.0,18.0,3.0,0,10.0,4,1.7777777777777777,1.4285714285714286,9.0,9.0,0.5208794528682227,3.6279526446534294,0.2756375559294347,13.162040391847812,0.07597606223875222,143.22582955446106,0.006981980855762849,110664.02046476881,2803.152385027567,0.003006054,9.036360650916002e-06,0.00035674121940044507,0.0048297272785856275,0.06949623931253854,0.11867425515324909,0.001294240250380734,6.0,2.0,-11.294725286157348,0.6522366404529787,1.9102,3.6794648442402598
420,SnF,19.0,118.0,16.3649635,X $^2\Pi_{1/2}$,0,577.64,2.69,0.2727,0.0014,2.62,1.944,4.9,,2.803,0.3151,496.6,0.58,1.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",9/1/1977 0:00,2.0,17.0,5.0,14.0,17.0,14.0,15.5,17.0,14.0,17,14,F,Sn,"Sn
F 1 SnF2
SnF2= 1.944",F,Metal,Metal-F,Sn\nF 1 SnF2\nSnF2= {0},9.0,50.0,68.0,10.0,7.0,31.0,3.0,0,10.0,196,7.67741935483871,1.4285714285714286,15.5,15.5,0.51440329218107,3.6736273217973814,0.27221051903292515,13.495537699456202,0.07409856667217452,145.0289935326942,0.006895172997077773,141634.74924699264,3587.6501096477505,0.0026571439999999997,7.0604142367359985e-06,0.0002787339816976143,0.004561471436691126,0.06753866623417379,0.10489984046691271,0.0010239647706777272,7.0,4.0,-11.720388379019772,0.6647477060382473,1.9399,4.045363209898464
421,GaCl,35.0,69.0,23.22115385,X $^1\Sigma^+$,0,365.3,1.2,0.1499045,0.0007936,1.01,2.20169,4.92,,3.032,0.6795,338.67,1.12,5.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",7/1/1976 0:00,3.0,17.0,4.0,13.0,17.0,13.0,15.0,17.0,13.0,17,13,Cl,Ga,"Ga
Cl 1 GaCl2
GaCl2= 2.20169",Halogen,Metal,Metal-Halogen,Ga\nCl 1 GaCl2\nGaCl2= {0},17.0,31.0,38.0,18.0,7.0,30.0,1.0,0,12.0,169,7.366666666666666,1.7142857142857142,15.0,15.0,0.45419654901462053,4.160590811794279,0.2403504803128535,17.310515903186978,0.05776835338661938,164.25354154886702,0.006088148788575681,354148.16202088195,8970.677740178542,0.00168038,2.8236769444e-06,0.00011147429759081916,0.0025885618146770963,0.05087791087178301,0.06633874337401013,0.00046379893830758324,7.0,3.0,-12.247700643139835,0.7892252472818144,2.1456,4.818833245714154
422,GeSe,80.0,74.0,38.44155844,X,0,408.7,1.36,0.096340508,0.00028904,2.2071,2.134629,4.98,,,,,,,,,4.0,16.0,4.0,14.0,16.0,14.0,15.0,16.0,14.0,16,14,Se,Ge,"Ge
Se 1 GeSe2
GeSe2= 2.134629",Nonmetal,Metalloid,Metalloid-Nonmetal,Ge\nSe 1 GeSe2\nGeSe2= {0},34.0,32.0,42.0,46.0,8.0,30.0,0.0,0,16.0,196,7.466666666666667,2.0,15.0,15.0,0.46846548041837716,4.0338638972741885,0.24790127417926325,16.272057941732104,0.06145504173970225,159.2505634957312,0.0062794126315716655,282927.43428694276,7166.635631710698,0.00188002,3.5344752004000003e-06,0.00013953548797363615,0.005363961615392451,0.07323907164480208,0.07422021466454407,0.0005628671673253875,6.0,4.0,-12.867678002903402,0.7582928610889433,2.0605,6.200125679371347
423,RbF,19.0,85.0,15.52884615,X,0,376.0,1.9,0.21066401,0.00152279,2.6839,2.270333,5.0,,,,,,,,,2.0,17.0,5.0,1.0,17.0,1.0,9.0,17.0,1.0,17,1,F,Rb,"Rb
F 1 RbF2
RbF2= 2.270333",F,Alkali Metal,Alkali Metal-F,Rb\nF 1 RbF2\nRbF2= {0},9.0,37.0,48.0,10.0,7.0,18.0,3.0,0,10.0,1,0.9444444444444444,1.4285714285714286,9.0,9.0,0.44046402003582735,4.2903072728283,0.23308353840604285,18.406736495283404,0.05432793587588125,169.37454216772747,0.00590407499971114,334278.65554301406,8467.377261496873,0.0017296,2.99151616e-06,0.00011810032423466373,0.0018339617653052097,0.04282477980451516,0.0682818710884966,0.0005066866799873581,7.0,1.0,-11.864617011112816,0.8199265167697424,2.261,3.940665698838205
424,KF,18.998,39.0,12.77495776,X,0,428.0,2.4,0.279937413,0.002335038,0.04834,2.171457,5.07,,,,,,,,,2.0,17.0,4.0,1.0,17.0,1.0,9.0,17.0,1.0,17,1,F,K,"K
F 1 KF2
KF2= 2.171457",F,Alkali Metal,Alkali Metal-F,K\nF 1 KF2\nKF2= {0},9.0,19.0,20.0,9.998000000000001,6.0,18.0,2.0,0,8.0,1,0.9444444444444444,1.3333333333333333,9.0,9.0,0.4605202866094055,4.1034587259815725,0.24369685837665978,16.83837351583431,0.05938815878265377,161.99805720654504,0.006172913535160581,257986.39185763572,6534.871646657908,0.0019688,3.8761734400000005e-06,0.0001530251937712387,0.0019548903866433895,0.0442141423827647,0.07772510857945891,0.0006279325666756106,7.0,1.0,-11.050650734606252,0.7753983708164798,2.1456,3.5742072911346368
425,AlCl,35.0,27.0,15.24193548,X $^1\Sigma^+$,0,481.3,1.95,0.24393,0.00161,2.5027,2.130113,5.12,,1.855,0.998,261.41,2.43,1151.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",11/1/1975 0:00,3.0,17.0,3.0,13.0,17.0,13.0,15.0,17.0,13.0,17,13,Cl,Al,"Al
Cl 1 AlCl2
AlCl2= 2.130113",Halogen,Metal,Metal-Halogen,Al\nCl 1 AlCl2\nAlCl2= {0},17.0,13.0,14.0,18.0,6.0,30.0,0.0,0,9.0,169,7.366666666666666,1.5,15.0,15.0,0.46945866252165963,4.025329894709767,0.24842684355243427,16.203280761244145,0.06171589659742565,158.91365457865632,0.006292725459315627,204010.54370523506,5167.647440932824,0.00221398,4.901707440399999e-06,0.00019351165330649714,0.002949492134325758,0.054309226972272015,0.08740442700769527,0.0007789482430293551,7.0,3.0,-11.239666235595594,0.7561750299573377,2.0605,3.9040921454289474
426,CsF,19.0,133.0,16.625,X,0,352.56,1.615,0.18436969,0.00117562,0.20168,2.345351,5.15,8.8,,,,,,,,2.0,17.0,6.0,1.0,17.0,1.0,9.0,17.0,1.0,17,1,F,Cs,"Cs
F 1 CsF2
CsF2= 2.345351",F,Alkali Metal,Alkali Metal-F,Cs\nF 1 CsF2\nCsF2= {0},9.0,55.0,78.0,10.0,8.0,18.0,4.0,0,12.0,1,0.9444444444444444,1.5,9.0,9.0,0.4263754124649146,4.432070737039512,0.2256281678094266,19.64325101812196,0.05090807010903878,174.97113940889807,0.00571522825637578,380205.38322699483,9630.714863936937,0.001621776,2.6301573941759995e-06,0.00010383445197246864,0.0017262477640422912,0.04154813791305564,0.06402515018872437,0.00046020163608371286,7.0,1.0,-12.328999143753869,0.8524350708678593,2.3384,4.077376607575022
427,InF,19.0,115.0,16.30597015,X $^1\Sigma^+$,0,535.35,2.64,0.26232411,0.00187977,2.52,1.985396,5.25,,3.4,0.8133,328.45,0.9,11.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",1/1/1977 0:00,2.0,17.0,5.0,13.0,17.0,13.0,15.0,17.0,13.0,17,13,F,In,"In
F 1 InF2
InF2= 1.985396",F,Metal,Metal-F,In\nF 1 InF2\nInF2= {0},9.0,49.0,66.0,10.0,7.0,30.0,3.0,0,10.0,169,7.366666666666666,1.4285714285714286,15.0,15.0,0.5036778557023385,3.7518544188205936,0.2665348620627857,14.076411580023613,0.07104083269482822,148.11727553695314,0.0067514069265371705,164895.46913499213,4176.851027503994,0.00246261,6.064448012100001e-06,0.0002394148111615991,0.0039038907642689217,0.06248112326350193,0.09721994597666665,0.0008982495171877435,7.0,3.0,-11.694404853492832,0.6858183904640911,1.9399,4.038065149301086
428,AlO,16.0,27.0,10.04651163,X $^2\Sigma^+$,0,979.23,6.97,0.64136,0.0058,10.8,1.6179,5.27,9.53,5.126,0.055,1872.06,0.49,0.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",12/1/1975 0:00,2.0,16.0,3.0,13.0,16.0,13.0,14.5,16.0,13.0,16,13,O,Al,"Al
O 1 AlO2
AlO2= 1.6179",Nonmetal,Metal,Metal-Nonmetal,Al\nO 1 AlO2\nAlO2= {0},8.0,13.0,14.0,8.0,5.0,29.0,1.0,0,6.0,169,7.172413793103448,1.2,14.5,14.5,0.6180851721367204,3.057387676921802,0.3270766110390052,9.347619406993294,0.1069791094887607,120.70082748793514,0.008284947343049133,49285.017631791015,1248.4040805716384,0.004504458,2.0290141873764002e-05,0.0008010226941441147,0.00804748381261278,0.0897077689646375,0.17782887400528868,0.002449036914010918,6.0,3.0,-9.631880455932809,0.4811290120291539,1.6011,3.1696232631024146
429,CP,31.0,12.0,8.651162791,X $^2\Sigma^+$,0,1239.67,6.86,0.7986,0.00597,13.3,1.5622,5.28,,1.095,0.2972,1450.34,0.64,1.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",10/1/1976 0:00,3.0,15.0,2.0,14.0,15.0,14.0,14.5,15.0,14.0,15,14,P,C,"C
P 1 CP2
CP2= 1.5622",Nonmetal,Nonmetal,Nonmetal-Nonmetal,C\nP 1 CP2\nCP2= {0},15.0,6.0,6.0,16.0,5.0,29.0,1.0,0,6.0,196,7.241379310344827,1.2,14.5,14.5,0.6401229035974907,2.9521299393579574,0.3387384771476165,8.715071178853618,0.1147437559002863,116.54541856829982,0.008580345862449873,30751.914167351882,778.9550856759171,0.005702482,3.2518300960324e-05,0.0012837710650958482,0.011106112470519642,0.10538554203741442,0.22512496577733138,0.0037898589965509066,5.0,4.0,-9.38030170845152,0.4460950841940599,1.509739,2.941285907728115
430,NaF,19.0,23.0,10.4047619,X,0,536.0,3.4,0.43690127,0.00455869,1.161,1.925947,5.33,,,,,,,,,2.0,17.0,3.0,1.0,17.0,1.0,9.0,17.0,1.0,17,1,F,Na,"Na
F 1 NaF2
NaF2= 1.925947",F,Alkali Metal,Alkali Metal-F,Na\nF 1 NaF2\nNaF2= {0},9.0,11.0,12.0,10.0,5.0,18.0,1.0,0,6.0,1,0.9444444444444444,1.2,9.0,9.0,0.5192250877100979,3.6395120985255667,0.2747621035262167,13.246048315313974,0.07549421353415144,143.6821785017036,0.006959805387333707,164495.77859089282,4166.726747749297,0.0024656,6.079183360000001e-06,0.00023999653937954078,0.0024971068490680956,0.04997106011551181,0.09733798644530368,0.0008734703086761063,7.0,1.0,-10.094154879688855,0.655417794824924,1.9102,3.225641316079641
431,SO,16.0,32.0,10.66666667,X $^3\Sigma^-$,0,1149.22,5.63,0.7208171,0.0057367,11.34,1.481087,5.359,10.29,1.55,0.1542,261.05,3.17,1.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",8/1/1977 0:00,2.0,16.0,3.0,16.0,16.0,16.0,16.0,16.0,16.0,16,16,O,S,"S
O 1 SO2
SO2= 1.481087",Nonmetal,Nonmetal,Nonmetal-Nonmetal,S\nO 1 SO2\nSO2= {0},8.0,16.0,16.0,8.0,5.0,32.0,1.0,0,6.0,256,8.0,1.2,16.0,16.0,0.6751797834968506,2.798848595246357,0.3572897804112834,7.8335534591125064,0.12765598718634313,110.49411365450486,0.009050255863645546,35783.10194366492,906.3965608316418,0.005286412,2.7946151833744e-05,0.0011032698525273248,0.011768211763969031,0.10848138902120046,0.20869918056468637,0.003087885276923759,6.0,6.0,-9.557714589620524,0.392776277652125,1.361,3.2659863242212146
432,CaF,19.0,40.0,12.88135593,X $^2\Sigma^+$,0,581.1,2.74,0.3385,0.0026,4.5,1.967,5.48,,3.07,0.9771,606.43,1.11,99.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",7/1/1976 0:00,2.0,17.0,4.0,2.0,17.0,2.0,9.5,17.0,2.0,17,2,F,Ca,"Ca
F 1 CaF2
CaF2= 1.967",F,Alkaline Earth Metal,Alkaline Earth Metal-F,Ca\nF 1 CaF2\nCaF2= {0},9.0,20.0,20.0,10.0,6.0,19.0,2.0,0,8.0,4,1.7894736842105263,1.3333333333333333,9.5,9.5,0.5083884087442806,3.7170910195346964,0.2690275795627893,13.81676564750549,0.07237583856541291,146.74487154259748,0.006814548198433752,139953.1203365757,3545.0539517350967,0.00267306,7.145249763600001e-06,0.00028208315405483706,0.0036336135092373788,0.06027946175304968,0.10552817896150368,0.0010485287586992572,7.0,2.0,-10.727513251408299,0.676509539406922,1.9399,3.5890605915754614
433,SnO,16.0,120.0,14.11764706,X,0,814.6,3.73,0.3557191,0.0021429,2.66,1.832505,5.49,,,,,,,,,2.0,16.0,5.0,14.0,16.0,14.0,15.0,16.0,14.0,16,14,O,Sn,"Sn
O 1 SnO2
SnO2= 1.832505",Nonmetal,Metal,Metal-Nonmetal,Sn\nO 1 SnO2\nSnO2= {0},8.0,50.0,70.0,8.0,7.0,30.0,3.0,0,10.0,196,7.466666666666667,1.4285714285714286,15.0,15.0,0.5457011031347799,3.462932322700777,0.2887726085331317,11.991900271605799,0.08338961943902932,136.71108837120872,0.007314695625015589,71218.94322255159,1803.9969062663445,0.0037471600000000002,1.4041208065600002e-05,0.0005543246756834287,0.00782576012794761,0.0884633264576209,0.147931947310344,0.0019195888366947704,6.0,4.0,-11.31172082470751,0.6056838832879076,1.79,3.757345746667453
